question_id,summary_id,summary,passage_id
VS01Q01,VP001,"a. Electronic Travel Authority (ETA) (subclass 601). This visa is designed for ETA eligible passport holders who are outside of Australia and who want to visit Australia for tourism or business visitor purposes. It allows an applicant to stay in Australia for up to 3 months on each visit within a 12 month period from the date of grant, or for the life of the passport if it is less than 12 months. It can be applied for online, through a travel agent, airline or specialistservice provider or at an Australian visa office outside of Australia.",VP001
VS02Q01,VP002,"Frequent Traveller stream of the Visitor visa (subclass 600) is for applicants who travel frequently to Australia for a short visit for tourism, visiting family or friends or for business purposes. This visa allows a maximum of three months stay on each visit to Australia, to enable travel for up to 10 years from the date of grant, however applicants must not stay in Australia for more than 12 months in any period of 24 months.",VP002
VS03Q01,VP003,"A total of 5,156,543 visitor visas were granted in 2025-26 to 30 June 2026.",VP003
VS04Q01,VP004,"A total of 4,726,509 Tourist stream visitor visas were granted in 2025-26 to 30 June 2026.",VP004
VS05Q01,VP005,"A total of 430,034 Business stream visitor visas were granted in 2025-26 to 30 June 2026.",VP005
VS06Q01,VP006,"A total of 32,840 Sponsored Family stream visitor visas were granted in 2025-26 to 30 June 2026.",VP006
VS07Q01,VP007,"A total of 408,385 student visa applications were lodged in 2025-26 to 30 June 2026.",VP007
VS08Q01,VP008,"A total of 227,899 primary Higher Education student visa applications were lodged in 2025-26 to 30 June 2026.",VP008
VS09Q01,VP009,"A total of 337,527 student visas were granted in 2025-26 to 30 June 2026.",VP009
VS10Q01,VP010,"A total of 195,607 primary Higher Education student visas were granted in 2025-26 to 30 June 2026.",VP010
VS11Q01,VP011,"There were 296,625 Visitor visa holders in Australia on 30 June 2026.",VP011
VS12Q01,VP012,"There were 528,801 Student visa holders in Australia on 30 June 2026.",VP012
