passage_id,passage
VP001,"a. Electronic Travel Authority (ETA) (subclass 601). This visa is designed for ETA eligible passport holders who are outside of Australia and who want to visit Australia for tourism or business visitor purposes. It allows an applicant to stay in Australia for up to 3 months on each visit within a 12 month period from the date of grant, or for the life of the passport if it is less than 12 months. It can be applied for online, through a travel agent, airline or specialistservice provider or at an Australian visa office outside of Australia."
VP002,"Frequent Traveller stream of the Visitor visa (subclass 600) is for applicants who travel frequently to Australia for a short visit for tourism, visiting family or friends or for business purposes. This visa allows a maximum of three months stay on each visit to Australia, to enable travel for up to 10 years from the date of grant, however applicants must not stay in Australia for more than 12 months in any period of 24 months."
VP003,"Grand Total | 2025-26 to 30 June 2026 | 5,156,543"
VP004,"Tourist Total | 2025-26 to 30 June 2026 | 4,726,509"
VP005,"Business Total | 2025-26 to 30 June 2026 | 430,034"
VP006,"Sponsored Family | 2025-26 to 30 June 2026 | 32,840"
VP007,"Grand Total | 2025-26 to 30 June 2026 | 408,385"
VP008,"Primary Higher Education | 2025-26 to 30 June 2026 | 227,899"
VP009,"Grand Total | 2025-26 to 30 June 2026 | 337,527"
VP010,"Primary Higher Education | 2025-26 to 30 June 2026 | 195,607"
VP011,"Visitor visa holders | 30 June 2026 | 296,625"
VP012,"Student visa holders | 30 June 2026 | 528,801"
TRP001,"All passengers arriving in or departing Australia must carry a valid passport, or another accepted travel document, when crossing the border."
TRP002,Passengers arriving in Australia are required to fill out an Incoming Passenger Card as part of the arrival process.
TRP003,Anyone entering Australia who is not an Australian citizen is required to hold a valid visa at the time of entry.
TRP004,"Travellers may use SmartGate on arrival if they hold an ePassport, are at least 7 years old, and are taller than 1.1 metres."
TRP005,"Departure SmartGates can be used by any traveller carrying a valid machine-readable passport who is able to operate the gate independently, without an age or height restriction."
TRP006,"Travellers taking valuable items such as computers, cameras or video cameras out of Australia, who plan to bring them back in, are advised to register the items with Border Force before departure."
TRP007,"The B263 'Goods exported in passenger baggage' form is used to register high-value items leaving Australia; it cannot be used together with a Tourist Refund Scheme claim, and items must include identifying details such as serial numbers."
TRP008,"Goods bought duty or tax free within Australia must be carried out of the country and shown for inspection at the point of departure, and may also need to be declared when the traveller returns."
TRP009,"Border Force officers no longer routinely stamp Australian passports, though a traveller can ask an officer to provide a stamp if they need evidence of travel."
TRP010,"Non-citizens arriving in or departing Australia may be required to undergo a fingerprint check, used to confirm identity and help resolve any concerns."
TRP011,At least four fingerprints are scanned during a border biometric check; the scans are not kept and are deleted once the check is finished.
TRP012,"Passengers can generally use cameras or mobile phones at the border, except while undergoing a clearance process or when a Border Force officer has directed them not to."
TRP013,"The Customs Act 1901 gives officers at international airports the power to direct someone in a customs controlled area to stop using cameras, recording equipment or mobile phones, where doing so could interfere with their duties or pose a border risk."
TRP014,"Border Force officers hold legislative powers to examine travellers' baggage and question them, to detect breaches of customs, quarantine and other Commonwealth laws, including bringing in or taking out prohibited goods."
TRP015,"Passengers are selected for examination using risk-assessment methods; every border crossing is screened through a combination of intelligence, targeting and profiling techniques."
TRP016,"Airlines send the Department passenger details ahead of a flight's arrival, which are analysed to flag possible risk factors, alongside information drawn from airline reservation systems."
TRP017,"Officers question travellers using powers under Section 195 of the Customs Act 1901, covering matters such as dutiable, excisable or prohibited goods, immigration clearance, wildlife specimens, and currency."
TRP018,"Officers may ask about what is in the bags, whether the traveller knows the contents, who packed them, where the journey started, and the origin, price and source of any goods."
TRP019,"A traveller who refuses to answer an officer's questions may have their goods physically examined as a result, which can delay their clearance through the border."
TRP020,"Under Section 186 of the Customs Act 1901, officers may open packages, use x-ray or ion-scanning devices, test or analyse goods, count or measure them, use a detector dog, or read documents directly or electronically."
TRP021,"After examining an item, an officer may copy a document if they believe it could hold information relevant to prohibited goods, an offence under the Customs Act or a prescribed Act, or certain security matters."
TRP022,"For the purposes of these powers, a 'document' includes information held on mobile phones, SIM cards, laptops, personal electronic recorders and computers."
TRP023,"A device held for forensic examination under Section 186 of the Customs Act is kept for as long as is reasonably necessary to complete the examination, and longer if it is found to contain prohibited content."
TRP024,"When deciding how quickly to examine a seized device, Border Force takes into account the traveller's confirmed travel plans, the effect on their employment, and their personal circumstances."
TRP025,"Details on what can and can't be brought into or out of Australia, and what needs to be declared, are covered in the Border Force 'Can you bring it in?' section of their website."
TRP026,"The Visitor visa (subclass 600) is for people coming as tourists or business visitors, or to visit family, and can be granted for 3, 6 or 12 months."
TRP027,"To qualify for the Business Visitor stream, an applicant must intend to carry out business visitor activities in Australia; business visitor activities specifically do not include work."
TRP028,"An eVisitor (subclass 651) visa allows travel to Australia as often as wanted within a 12-month period, with each visit limited to 3 months, and there is no charge to apply."
TRP029,The Student visa (subclass 500) allows a person to come to Australia to study full-time at a recognised educational institution.
TRP030,"Applicants for a Student visa lodged on or after 23 March 2024 must satisfy the Genuine Student (GS) criterion, or the GS dependent criterion for secondary applicants, in order for the visa to be granted."
TRP031,"The Genuine Student requirement is meant to identify students who, after completing their studies in Australia, may develop skills the country needs and could later apply for permanent residence; wanting to stay on afterwards does not count against an applicant."
TRP032,The Working Holiday visa (subclass 417) is intended for young adults who want to take an extended holiday in Australia and work here to help fund it.
TRP033,A first Working Holiday (subclass 417) visa is generally available to people aged 18 to 30 years old who want to have an extended holiday in Australia and work here to fund the trip.
TRP034,"Since 1 July 2023, UK passport holders can apply for a Working Holiday (subclass 417) visa between the ages of 18 and 35 inclusive, and since 1 July 2024 can be granted up to three separate Working Holiday visas without needing to meet any specified work requirements."
TRP035,"A mandatory condition on Working Holiday (subclass 417) and Work and Holiday (subclass 462) visas limits the holder to a maximum of six months' work with any one employer, unless an exemption applies or permission is granted to work longer."
TRP036,"A mandatory condition on Working Holiday Maker visas limits the holder to a maximum of four months of study or training during their stay in Australia, since study is meant to be incidental rather than the main purpose of the visit."
TRP037,A first Work and Holiday (subclass 462) visa is available to people aged 18 to 30 who want an extended holiday in Australia and plan to work here to help fund it.
TRP038,"On the Visitor visa application form, applicants are strongly advised to hold a passport valid for at least 6 months, noting that the stay period actually granted may end up being shorter than what was requested."
