topic_id,Topic,question_id,question
VS01,Electronic Travel Authority stay length,VS01Q01,How long can an Electronic Travel Authority holder stay during each visit?
VS02,Frequent Traveller stream stay conditions,VS02Q01,What are the stay conditions for the Frequent Traveller stream?
VS03,Total visitor visas granted,VS03Q01,How many visitor visas were granted in total in 2025-26 to 30 June 2026?
VS04,Tourist stream visitor visas granted,VS04Q01,How many Tourist stream visitor visas were granted in 2025-26 to 30 June 2026?
VS05,Business stream visitor visas granted,VS05Q01,How many Business stream visitor visas were granted in 2025-26 to 30 June 2026?
VS06,Sponsored Family visitor visas granted,VS06Q01,How many Sponsored Family stream visitor visas were granted in 2025-26 to 30 June 2026?
VS07,Total student visa applications lodged,VS07Q01,How many student visa applications were lodged in total in 2025-26 to 30 June 2026?
VS08,Higher Education student visa applications lodged,VS08Q01,How many primary Higher Education student visa applications were lodged in 2025-26 to 30 June 2026?
VS09,Total student visas granted,VS09Q01,How many student visas were granted in total in 2025-26 to 30 June 2026?
VS10,Higher Education student visas granted,VS10Q01,How many primary Higher Education student visas were granted in 2025-26 to 30 June 2026?
VS11,Visitor visa holders in Australia,VS11Q01,How many Visitor visa holders were in Australia on 30 June 2026?
VS12,Student visa holders in Australia,VS12Q01,How many Student visa holders were in Australia on 30 June 2026?
