passage_id,passage
VP001,"a. Electronic Travel Authority (ETA) (subclass 601). This visa is designed for ETA eligible passport holders who are outside of Australia and who want to visit Australia for tourism or business visitor purposes. It allows an applicant to stay in Australia for up to 3 months on each visit within a 12 month period from the date of grant, or for the life of the passport if it is less than 12 months. It can be applied for online, through a travel agent, airline or specialistservice provider or at an Australian visa office outside of Australia."
VP002,"Frequent Traveller stream of the Visitor visa (subclass 600) is for applicants who travel frequently to Australia for a short visit for tourism, visiting family or friends or for business purposes. This visa allows a maximum of three months stay on each visit to Australia, to enable travel for up to 10 years from the date of grant, however applicants must not stay in Australia for more than 12 months in any period of 24 months."
VP003,"Grand Total | 2025-26 to 30 June 2026 | 5,156,543"
VP004,"Tourist Total | 2025-26 to 30 June 2026 | 4,726,509"
VP005,"Business Total | 2025-26 to 30 June 2026 | 430,034"
VP006,"Sponsored Family | 2025-26 to 30 June 2026 | 32,840"
VP007,"Grand Total | 2025-26 to 30 June 2026 | 408,385"
VP008,"Primary Higher Education | 2025-26 to 30 June 2026 | 227,899"
VP009,"Grand Total | 2025-26 to 30 June 2026 | 337,527"
VP010,"Primary Higher Education | 2025-26 to 30 June 2026 | 195,607"
VP011,"Visitor visa holders | 30 June 2026 | 296,625"
VP012,"Student visa holders | 30 June 2026 | 528,801"

