topic_id,topic,passage_id,passage,relevance_judgment
VS01,Electronic Travel Authority stay length,VP001,"a. Electronic Travel Authority (ETA) (subclass 601). This visa is designed for ETA eligible passport holders who are outside of Australia and who want to visit Australia for tourism or business visitor purposes. It allows an applicant to stay in Australia for up to 3 months on each visit within a 12 month period from the date of grant, or for the life of the passport if it is less than 12 months. It can be applied for online, through a travel agent, airline or specialistservice provider or at an Australian visa office outside of Australia.",2
VS02,Frequent Traveller stream stay conditions,VP002,"Frequent Traveller stream of the Visitor visa (subclass 600) is for applicants who travel frequently to Australia for a short visit for tourism, visiting family or friends or for business purposes. This visa allows a maximum of three months stay on each visit to Australia, to enable travel for up to 10 years from the date of grant, however applicants must not stay in Australia for more than 12 months in any period of 24 months.",2
VS03,Total visitor visas granted,VP003,"Grand Total | 2025-26 to 30 June 2026 | 5,156,543",2
VS04,Tourist stream visitor visas granted,VP004,"Tourist Total | 2025-26 to 30 June 2026 | 4,726,509",2
VS05,Business stream visitor visas granted,VP005,"Business Total | 2025-26 to 30 June 2026 | 430,034",2
VS06,Sponsored Family visitor visas granted,VP006,"Sponsored Family | 2025-26 to 30 June 2026 | 32,840",2
VS07,Total student visa applications lodged,VP007,"Grand Total | 2025-26 to 30 June 2026 | 408,385",2
VS08,Higher Education student visa applications lodged,VP008,"Primary Higher Education | 2025-26 to 30 June 2026 | 227,899",2
VS09,Total student visas granted,VP009,"Grand Total | 2025-26 to 30 June 2026 | 337,527",2
VS10,Higher Education student visas granted,VP010,"Primary Higher Education | 2025-26 to 30 June 2026 | 195,607",2
VS11,Visitor visa holders in Australia,VP011,"Visitor visa holders | 30 June 2026 | 296,625",2
VS12,Student visa holders in Australia,VP012,"Student visa holders | 30 June 2026 | 528,801",2
